t5_30,"Доля научных работников, имеющих ученые степени, %"
t5_14,"Общий объем средств, поступивших (за отчетный год) от выполнения НИОКР, выполненных собственными силами, тыс. руб."
t5_22,"Доля аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров, обучающихся в очной форме, %"
t5_18,"Количество технопарков, ед."
t5_23,"Общая численность докторантов, чел."
t2_3_E.2,"Научно-исследовательская деятельность, Изменение относительно прошлого года"
t4_4_09.00.00_1,"09.00.00 - Информатика и вычислительная техника, Приведенный контингент студентов"
1.1499999999999999,"Удельный вес численности студентов, обучающихся по направлениям подготовки бакалавриата, специалитета, и магистратуры по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки», с которыми заключены договоры о целевом обучении, в общей численности студентов, обучающихся по указанным областям знаний, %"
name,Наименование образовательной организации
1.1200000000000001,"Удельный вес численности обучающихся по программам магистратуры, подготовки научно-педагогических кадров в аспирантуре (адъюнктуре), ординатуры, ассистентуры-стажировки, имеющих диплом бакалавра, диплом специалиста или диплом магистра других организаций в общей численности обучающихся по программам магистратуры, подготовки научно-педагогических кадров в аспирантуре (адъюнктуре), ординатуры, ассистентуры-стажировки, %"
address,Адрес
t5_1,"Общая численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, чел."
7.5,"Доля штатных работников ППС в общей численности ППС, %"
t4_4_38.00.00_2,"38.00.00 - Экономика и управление, Доля приведенного контингента студентов по   от общего приведенного контингента студентов организации"
t5_39,"Общая численность обучающихся по очной форме обучения по программам бакалавриата, специалитета, магистратуры, реализуемым совместно с зарубежными вузами и ведущим к получению двух дипломов, чел."
1.6000000000000001,"Численность студентов, победителей и призеров олимпиад школьников, принятых на очную форму обучения на первый курс по программам бакалавриата и специалитета по специальностям и (или) направлениям подготовки, соответствующим профилю олимпиады школьников, без вступительных испытаний, человек"
1.1299999999999999,"Численность аспирантов (адъюнктов), ординаторов, интернов, ассистентов-стажеров образовательной организации в расчете на 100 студентов (приведенного контингента), человек"
t5_19,"Количество центров коллективного пользования научным оборудованием, ед."
t4_4_notag_2,notag
1.1000000000000001,"Удельный вес численности обучающихся (приведенного контингента), по программам магистратуры, подготовки научно-педагогических кадров в аспирантуре (адъюнктуре), ординатуры, интернатуры, ассистентуры-стажировки в общей численности приведенного контингента обучающихся по основным образовательным программам высшего образования, %"
t5_44,"Количество созданных результатов интеллектуальной деятельности, имеющих правовую охрану за пределами России, ед."
