,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
696,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/16cc4935-f497-4202-b561-884282cccf5c/1/>,{},Постоянное,07.04.2016,16.08.2016,6154029321,"Российская Федерация, 347900, г. Таганрог, ул. Петровская, 45",Федеральная служба по надзору в сфере образования и науки,1026102579029,u698,Частное образовательное учреждение высшего образования «Таганрогский институт управления и экономики»,1825,90А01 0001918,"Таганрогский институт управления и экономики, ЧОУ ВО «Таганрогский институт управления и экономики», ТИУиЭ",30.06.2021,Ростовская область,Действующее
697,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0007057b-610e-4dff-b499-a8ba5be49f1d/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 06.12.2016 №3175-06'},Постоянное,07.04.2016,17.08.2016,7203255254,"625001, г. Тюмень, улица Льва Толстого, д. 1",Федеральная служба по надзору в сфере образования и науки,5137746045070,,федеральное государственное казенное военное образовательное учреждение высшего образования «Тюменское высшее военно-инженерное командное училище (военный институт) имени маршала инженерных войск А.И.Прошлякова» Министерства обороны Российской Федерации,1834,90А01 0001928,Тюменское высшее военно-инженерное командное училище (военный институт) имени маршала инженерных войск А.И.Прошлякова; ТВВИКУ,03.07.2020,Тюменская область,Действующее
698,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/76267229-39c4-4a84-9936-8c5c29ec8c6c/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 13.11.2018 №1608-06'},Постоянное,07.04.2016,16.08.2016,3662215130,"394026, г. Воронеж, ул. Солнечная, д.29 б",Федеральная служба по надзору в сфере образования и науки,1153600000806,u700,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,1833,90А01 0001927,Международный институт компьютерных технологий,01.04.2019,Воронежская область,Действующее
699,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/47326d98-bc06-4c1b-a891-81ffa2330281/1/>,{},Постоянное,07.04.2016,09.08.2016,5022014285,"140410, Российская Федерация, Московская область, г.о. Коломна, ул. Зеленая, д. 30",Федеральная служба по надзору в сфере образования и науки,1035004258475,u701,государственное образовательное учреждение высшего образования Московской области «Государственный социально-гуманитарный университет»,1824,90А01 0001917,ГОУ ВО МО «Государственный социально-гуманитарный университет»,07.03.2020,Московская область,Действующее
700,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/80c57270-ec62-4939-9713-d6f8248d841a/1/>,{},Постоянное,07.04.2016,17.08.2016,6731011390,"Российская Федерация, 214018, г. Смоленск, пр. Гагарина, д. 23",Федеральная служба по надзору в сфере образования и науки,1026701439720,,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленская государственная академия физической культуры, спорта и туризма»",1826,90А01 0001919,ФГБОУ ВО «СГАФКСТ»,28.03.2020,Смоленская область,Действующее
701,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/1d72564e-3c03-4158-b13b-98e5a94c8a80/1/>,{},Постоянное,06.04.2016,01.09.2016,2722010146,"680028,  г. Хабаровск, ул. Амурский бульвар, дом 1",Федеральная служба по надзору в сфере образования и науки,1022701126843,u703,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дальневосточная государственная академия физической культуры»,1887,90А01 0001982,ФГБОУ ВПО «ДВГАФК»,06.04.2022,Хабаровский край,Действующее
702,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/c2d85b4b-04e4-4c0e-a3bc-2b08afd427ff/1/>,{},Постоянное,31.03.2016,18.08.2016,7810271523,"196105, г. Санкт-Петербург, Московский проспект, д. 149",Федеральная служба по надзору в сфере образования и науки,1027804865660,,"федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский университет Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»",1803,90А01 0001896,ФГБОУ ВО Санкт-Петербургский университет ГПС МЧС России,03.02.2027,г. Санкт-Петербург,Действующее
703,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/824cd83f-0b4d-4bd2-9912-6526d3fcc71c/1/>,{},Постоянное,31.03.2016,16.08.2016,5191501710,"183738,  г.  Мурманск, ул. Капитана Егорова, д. 15",Федеральная служба по надзору в сфере образования и науки,1025100833768,u705,федеральное государственное бюджетное образовательное учреждение высшего образования «Мурманский арктический государственный университет»,1816,90А01 0001909,"ФГБОУ ВО МАГУ, ФГБОУ ВО «Мурманский арктический государственный университет», МАГУ",03.02.2020,Мурманская область,Действующее
704,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/a7a67900-1665-4d99-ab01-c55c39ab369d/1/>,{},Постоянное,30.03.2016,17.08.2016,6318100897,"443090, Самарская область, г. Самара, ул. Советской Армии, д. 141",Федеральная служба по надзору в сфере образования и науки,1026301505120,u706,федеральное государственное бюджетное образовательное учреждение высшего образования «Самарский государственный экономический университет»,1799,90А01 0001892,"СГЭУ, ФГБОУ ВО «СГЭУ», ФГБОУ ВО «Самарский государственный экономический университет», Самарский государственный экономический университет",27.01.2021,Самарская область,Действующее
705,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/3651fc32-e35b-413e-9f37-d1b5a351b601/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 02.12.2016 №3146-06'},Постоянное,30.03.2016,18.08.2016,7804181617,"Россия, 194064, г. Санкт-Петербург, Тихорецкий проспект, д. 3",Федеральная служба по надзору в сфере образования и науки,1057801201732,,федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия связи имени Маршала Советского Союза С.М. Буденного» Министерства обороны Российской Федерации,1815,90А01 0001908,Военная академия связи; ВАС,13.03.2020,г. Санкт-Петербург,Действующее
