,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
0,"{'Негосударственное образовательное учреждение (образовательная организация высшего образования) Сибирский независимый институт': ['Приказ от 19.06.1998 №1659', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1310-0a0e-0e10-110f-0c0e0c0e1112/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 24.05.2017 №1103-06'},Постоянное,24.05.2017,29.05.2017,5407138675,"630082, г. Новосибирск, ул. Северная, 23/1",Федеральная служба по надзору в сфере образования и науки,1025403224923,u1,Негосударственное образовательное учреждение (образовательная организация высшего образования) Сибирский независимый институт,2601,90А01 0002729,НОУ СНИ,01.04.2019,Новосибирская область,Лишен аккредитации
1,"{'автономная некоммерческая организация высшего и профессионального образования «Прикамский социальный институт»': ['Приказ от 22.07.2016 №1257', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1013-1113-130c-0d10-0a130e131210/1/>,{'Приказ о лишении ГА': 'Приказ от 21.08.2018 №1179'},Постоянное,22.07.2016,01.09.2016,5905020348,"614039, Пермский край, город Пермь, проспект Комсомольский, дом 57",Федеральная служба по надзору в сфере образования и науки,1025901221345,u2,автономная некоммерческая организация высшего и профессионального образования «Прикамский социальный институт»,2144,90А01 0002248,АНО ВПО «ПСИ»,22.07.2022,Пермский край,Лишен аккредитации
2,"{'Частное  образовательное учреждение высшего образования  «Восточно-Европейский институт»': ['Распоряжение от 05.07.2016 №1834-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1011-1213-130b-130f-130e120f0a0d/1/>,"{'Приказ о лишении ГА': 'Приказ от 29.12.2016 №2208', 'Распоряжение о переоформлении': 'Распоряжение от 05.07.2016 №1834-06'}",Постоянное,05.07.2016,01.09.2016,1832025471,"426008, Удмуртская Республика, г. Ижевск, ул. Пушкинская, 268",Федеральная служба по надзору в сфере образования и науки,1021801443575,u3,Частное  образовательное учреждение высшего образования  «Восточно-Европейский институт»,2079,90А01 0002179,ЧОУ ВО «Восточно-Европейский институт»,25.09.2021,Удмуртская Республика,Лишен аккредитации
3,"{'Образовательная автономная некоммерческая организация  высшего образования «Институт мировой экономики и финансов»': ['Распоряжение от 24.06.2016 №1711-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1011-0d11-0c10-0a12-0b0b0a0d130c/1/>,"{'Приказ о лишении ГА': 'Приказ от 29.08.2016 №1481', 'Распоряжение о переоформлении': 'Распоряжение от 24.06.2016 №1711-06'}",Постоянное,24.06.2016,16.08.2016,3015045169,"414000, г. Астрахань, ул.Бакинская, дом 149",Федеральная служба по надзору в сфере образования и науки,1023000823207,u4,Образовательная автономная некоммерческая организация  высшего образования «Институт мировой экономики и финансов»,2054,90А01 0002153,"ОАНО ВО ""ИМЭФ""",07.07.2021,Астраханская область,Лишен аккредитации
4,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e100e-0b10-1112-0c0e-0d0a100c0b10/1/>,{'Приказ о лишении ГА': 'Приказ от 01.10.2018 №1341'},Постоянное,10.05.2016,01.09.2016,6315702004,"443010, г. Самара, ул. Чапаевская, д. 186",Федеральная служба по надзору в сфере образования и науки,1026300961939,u5,Государственное бюджетное образовательное учреждение высшего образования Самарской области «Самарская государственная областная академия (Наяновой)»,1919,90А01 0002014,ГБОУ ВО СО СГОАН,30.06.2020,Самарская область,Лишен аккредитации
5,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/c80e2bc4-c41d-4e6f-9d5d-6db7954d3541/1/>,{'Приказ о лишении ГА': 'Приказ от 26.08.2016 №1467'},Постоянное,12.04.2016,17.08.2016,6664055128,"620000,область Свердловская, город Екатеринбург, переулок Центральный рынок, д.6",Федеральная служба по надзору в сфере образования и науки,1026605781267,u6,Частное образовательное учреждение высшего  образования «Уральский институт бизнеса и управления»,1840,90А01 0001934,ЧОУ ВО «Уральский институт бизнеса и управления»,02.02.2021,Свердловская область,Лишен аккредитации
6,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/441bd379-1efb-45ab-9497-11794e98e7cf/1/>,{'Приказ о лишении ГА': 'Приказ от 29.08.2016 №1487'},Постоянное,23.03.2016,17.08.2016,7717076493,"127322, г. Москва,  ул. Милашенкова, д. 11а",Федеральная служба по надзору в сфере образования и науки,1027739444490,,Частное учреждение высшего образования «Экономико-правовой институт»,1765,90А01 0001858,ЧУ ВО «Экономико-правовой институт»,16.02.2021,г. Москва,Лишен аккредитации
7,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e8f63c48-ef53-4b27-a061-07f695c0e493/1/>,{'Приказ о лишении ГА': 'Приказ от 24.06.2016 №1019'},Постоянное,15.02.2016,30.08.2016,7106069213,"Российская Федерация, 300012, г. Тула, ул. Оружейная, д. 5а",Федеральная служба по надзору в сфере образования и науки,1087100000250,,"Автономная некоммерческая организация высшего  образования «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»",1672,90А01 0001765,"АНО ВО «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»",08.07.2019,Тульская область,Лишен аккредитации
8,"{'Частное образовательное учреждение высшего  образования «Санкт-Петербургский медико-социальный институт»': ['Распоряжение от 30.12.2015 №3975-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d1c75290-2bdc-4a70-bc41-01ae48fe8445/1/>,"{'Приказ о лишении ГА': 'Приказ от 01.07.2016 №1096', 'Распоряжение о переоформлении': 'Распоряжение от 30.12.2015 №3975-06'}",Постоянное,30.12.2015,30.08.2016,7839301210,"195271, г. Санкт-Петербург, Кондратьевский проспект, д. 72",Федеральная служба по надзору в сфере образования и науки,1047855032631,u9,Частное образовательное учреждение высшего  образования «Санкт-Петербургский медико-социальный институт»,1598,90А01 0001691,ЧОУВО «СПбМСИ»,04.08.2021,г. Санкт-Петербург,Лишен аккредитации
9,"{'Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»': ['Распоряжение от 29.10.2015 №3361-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d41649b6-e47f-435a-99f5-0900b7f96eb7/1/>,"{'Приказ о лишении ГА': 'Приказ от 21.01.2016 №62', 'Распоряжение о переоформлении': 'Распоряжение от 29.10.2015 №3361-06'}",Постоянное,29.10.2015,30.08.2016,7717284888,"129594, г. Москва, 5-й проезд Марьиной рощи, д. 15А",Федеральная служба по надзору в сфере образования и науки,1157700004648,u10,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,1507,90А01 0001598,АНО ВО «МАБиУ»,13.03.2020,г. Москва,Лишен аккредитации
10,"{'Частное учреждение - образовательная организация высшего образования «Институт Содружества Независимых Государств»': ['Распоряжение от 06.10.2015 №3172-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/9046aa42-98a0-4b02-bfe4-5d257e20e5cc/1/>,"{'Приказ о лишении ГА': 'Приказ от 14.04.2016 №583', 'Распоряжение о переоформлении': 'Распоряжение от 06.10.2015 №3172-06'}",Постоянное,06.10.2015,30.08.2016,7714236558,"125459, г. Москва, ул. Туристская,  д. 2, корп. 5",Федеральная служба по надзору в сфере образования и науки,1037739454224,,Частное учреждение - образовательная организация высшего образования «Институт Содружества Независимых Государств»,1491,90А01 0001582,"ИСНГ, Институт СНГ,",24.04.2019,г. Москва,Лишен аккредитации
11,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/c37f7596-561c-4eb1-add7-538c22203d37/1/>,"{'Приказ о лишении ГА': 'Приказ от 29.01.2016 №108', 'Распоряжение о переоформлении': 'Распоряжение от 10.09.2015 №2929-06'}",Постоянное,10.09.2015,30.08.2016,7706032991,,Федеральная служба по надзору в сфере образования и науки,1027700551856,,Негосударственное образовательное учреждение высшего профессионального образования «Университет Российской академии образования»,1458,90А01 0001547,"НОУ УРАО, УРАО, Университет РАО, Университет Российской академии образования",16.07.2020,г. Москва,Лишен аккредитации
12,"{'автономная некоммерческая образовательная организация высшего образования «Региональный финансово-экономический институт»': ['Распоряжение от 03.08.2015 №2561-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/ecdff87e-25ee-43e9-bc20-874c32621dea/1/>,"{'Приказ о лишении ГА': 'Приказ от 11.03.2016 №359', 'Распоряжение о переоформлении': 'Распоряжение от 03.08.2015 №2561-06'}",Постоянное,03.08.2015,23.03.2017,4629043454,"305029, г. Курск, ул. Ломакина, 17",Федеральная служба по надзору в сфере образования и науки,1024600944059,u13,автономная некоммерческая образовательная организация высшего образования «Региональный финансово-экономический институт»,1412,90А01 0001500,РФЭИ,25.06.2018,Курская область,Лишен аккредитации
13,"{'Негосударственное образовательное учреждение «Московская международная высшая школа бизнеса «МИРБИС» (Институт)»': ['Приказ от 30.06.2015 №1051', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/a2054b3a-9134-4211-bb7b-6f1d0951a846/1/>,{'Приказ о лишении ГА': 'Приказ от 13.05.2016 №746'},Постоянное,30.06.2015,30.08.2016,7705035943,"125047, г.Москва, ул. 1-ая  Миусская, д. 22,  стр. 3",Федеральная служба по надзору в сфере образования и науки,1037700056173,,Негосударственное образовательное учреждение «Московская международная высшая школа бизнеса «МИРБИС» (Институт),1370,90А01 0001458,Институт МИРБИС,30.06.2021,г. Москва,Лишен аккредитации
14,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/4ad12b7f-f3ba-4cbc-9a7b-c14215cc2542/1/>,{'Приказ о лишении ГА': 'Приказ от 19.09.2016 №1616'},Постоянное,12.05.2015,17.08.2016,6608004401,"Российская Федерация, 620075, г. Екатеринбург, ул. Луначарского, дом 81",Федеральная служба по надзору в сфере образования и науки,1036603494069,,Негосударственное образовательное частное учреждение высшего образования «Уральский институт коммерции и права»,1288,90А01 0001367,Уральский институт коммерции и права,12.05.2021,Свердловская область,Лишен аккредитации
15,"{'Учреждение высшего образования «МАХАЧКАЛИНСКИЙ ИННОВАЦИОННЫЙ УНИВЕРСИТЕТ»': ['Приказ от 28.04.2015 №632', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e5305216-1fe6-481b-ab3b-45f9dddd79c5/1/>,{'Приказ о лишении ГА': 'Приказ от 06.04.2016 №520'},Постоянное,28.04.2015,30.08.2016,561060541,,Федеральная служба по надзору в сфере образования и науки,1080500000030,,Учреждение высшего образования «МАХАЧКАЛИНСКИЙ ИННОВАЦИОННЫЙ УНИВЕРСИТЕТ»,1275,90А01 0001354,МИУ,28.04.2021,Республика Дагестан,Лишен аккредитации
16,"{'Образовательное учреждение высшего образования «Тверской институт экологии и права»': ['Приказ от 15.04.2009 №772', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/6bbac31c-7399-4179-a130-2ee726e2e5fb/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 17.05.2017 №1049-06'},Постоянное,22.04.2015,17.08.2016,6902019709,"170001, Тверская область, г. Тверь, пр-кт Калинина, д. 23",Федеральная служба по надзору в сфере образования и науки,1026900560587,u17,Образовательное учреждение высшего образования «Тверской институт экологии и права»,1273,90А01 0001365,ОУ ВО «ТИЭП»,22.04.2021,Тверская область,Лишен аккредитации
17,"{'Частное образовательное учреждение высшего образования Тульский институт управления и бизнеса имени Никиты Демидовича Демидова': ['Распоряжение от 14.04.2015 №1213-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/12b56fc4-5360-4e98-8000-cc8024bac746/1/>,"{'Приказ о лишении ГА': 'Приказ от 20.04.2016 №626', 'Распоряжение о переоформлении': 'Распоряжение от 14.04.2015 №1213-06'}",Постоянное,14.04.2015,30.08.2016,7104042311,"Российская Федерация, 300028, г. Тула, ул. Болдина, дом 98 б",Федеральная служба по надзору в сфере образования и науки,1037100331652,u18,Частное образовательное учреждение высшего образования Тульский институт управления и бизнеса имени Никиты Демидовича Демидова,1264,90А01 0001343,ЧОУ ВО ТИУБ им. Н.Д. Демидова,05.06.2020,Тульская область,Лишен аккредитации
18,"{'Негосударственное образовательное учреждение высшего профессионального образования «Алтайский экономико-юридический институт»': ['Приказ от 09.04.2015 №476', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/1622b833-f782-4bdc-bb04-36bf71476e04/1/>,{'Приказ о лишении ГА': 'Приказ от 12.07.2016 №1168'},Постоянное,09.04.2015,30.08.2016,2224025929,"656015, Россия, Алтайский край, г. Барнаул, проспект Красноармейский, д. 108",Федеральная служба по надзору в сфере образования и науки,1022200906012,u19,Негосударственное образовательное учреждение высшего профессионального образования «Алтайский экономико-юридический институт»,1252,90А01 0001331,Алтайский экономико-юридический институт или АЭЮИ,09.04.2021,Алтайский край,Лишен аккредитации
19,"{'Негосударственное образовательное учреждение высшего профессионального образования «Байкальский экономико-правовой институт»': ['Приказ от 30.03.2015 №392', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d73a914d-01db-4e9e-84f8-5047875e0922/1/>,{},Постоянное,30.03.2015,30.08.2016,326008661,"670047, Россия,  Республика Бурятия, г. Улан-Удэ, ул. Сахьяновой, дом  9",Министерство образования и науки Российской Федерации,1020300989499,u20,Негосударственное образовательное учреждение высшего профессионального образования «Байкальский экономико-правовой институт»,1231,90А01 0001310,НОУ ВПО «БЭПИ»,30.03.2021,Республика Бурятия,Лишен аккредитации
20,"{'Автономная некоммерческая образовательная организация высшего образования «Уральский Финансово-Юридический институт»': ['Распоряжение от 18.03.2015 №765-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/8d113cb5-173d-4e87-977a-718fa50fd70e/1/>,"{'Приказ о лишении ГА': 'Приказ от 26.08.2016 №1468', 'Распоряжение о переоформлении': 'Распоряжение от 18.03.2015 №765-06'}",Постоянное,18.03.2015,29.08.2016,6671994954,"Российская Федерация, 620075, г. Екатеринбург, ул. Карла Либкнехта, д. 1",Федеральная служба по надзору в сфере образования и науки,1146600003406,,Автономная некоммерческая образовательная организация высшего образования «Уральский Финансово-Юридический институт»,1223,90А01 0001302,АНОО ВО «УрФЮИ»,31.05.2019,Свердловская область,Лишен аккредитации
21,"{'Автономная некоммерческая организация высшего образования «Московский гуманитарный институт имени Е.Р. Дашковой»': ['Приказ от 26.02.2015 №232', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/8b3a84bc-1c46-439d-a550-4dbea09edd7a/1/>,{'Приказ о лишении ГА': 'Приказ от 25.02.2016 №265'},Постоянное,26.02.2015,30.08.2016,7715398255,"127349, г. Москва, ул. Лескова, д. 6, корпус «Б»",Федеральная служба по надзору в сфере образования и науки,1057715059050,,Автономная некоммерческая организация высшего профессионального образования «Московский гуманитарный институт имени Е.Р. Дашковой»,1206,90А01 0001285,АНО ВПО «МГИ им. Е.Р. Дашковой»,26.02.2021,г. Москва,Лишен аккредитации
22,"{'Негосударственное образовательное учреждение высшего профессионального образования «Институт психотерапии и клинической психологии» (НОУ ВПО «Институт психотерапии и клинической психологии)': ['Приказ от 20.02.2015 №208', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/1e5f1eea-6a22-4069-baa5-f73f049c3977/1/>,{'Приказ о лишении ГА': 'Приказ от 23.03.2016 №425'},Постоянное,20.02.2015,30.08.2016,7707029670,"127055, г. Москва, ул. Новолесная, д. 6Б, стр. 1",Федеральная служба по надзору в сфере образования и науки,1107799001650,,Негосударственное образовательное учреждение высшего профессионального образования «Институт психотерапии и клинической психологии»,1217,90А01 0001296,НОУ ВПО «Институт психотерапии и клинической психологии»,20.02.2021,г. Москва,Лишен аккредитации
23,"{'Частное образовательное учреждение высшего  образования «Институт телевидения, бизнеса и дизайна»': ['Распоряжение от 02.12.2016 №3145-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/8d905b4d-9995-40e4-a677-ccef263534fe/1/>,"{'Приказ о лишении ГА': 'Приказ от 19.12.2017 №2099', 'Распоряжение о переоформлении': 'Распоряжение от 27.01.2015 №121-06'}",Постоянное,27.01.2015,18.08.2016,7801098833,"191124, Россия, Санкт-Петербург, Синопская набережная, дом 64, лит. А",Федеральная служба по надзору в сфере образования и науки,1027800525796,,"Частное образовательное учреждение высшего образования «Институт телевидения, бизнеса и дизайна»",1173,90А01 0001250,ЧОУ ВО «ИТиД»,31.05.2019,г. Санкт-Петербург,Лишен аккредитации
24,"{'Негосударственное образовательное учреждение высшего образования «Институт экономики и правоведения (г. Назрань)»': ['Приказ от 22.12.2014 №1940', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/3f429ba4-3710-47bb-8b84-3bc5cd157e09/1/>,{'Приказ о лишении ГА': 'Приказ от 11.02.2016 №189'},Постоянное,22.12.2014,30.08.2016,606002214,"386132, Республика Ингушетия, г. Назрань, Гамурзиевский муниципальный округ, ул. Магистральная, д. 1",Федеральная служба по надзору в сфере образования и науки,1020600988264,,Негосударственное образовательное учреждение высшего профессионального образования «Институт экономики и правоведения (г. Назрань)»,1148,90А01 0001225,ИЭиП,22.12.2020,Республика Ингушетия,Лишен аккредитации
25,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/cddec65b-c774-4e51-b9a0-ff7c57a15717/1/>,{'Приказ о лишении ГА': 'Приказ от 30.12.2015 №2451'},Постоянное,21.11.2014,31.08.2016,7704031537,"129085, г. Москва, ул. Годовикова, д. 9, стр. 25",Федеральная служба по надзору в сфере образования и науки,1027700512168,u26,автономная некоммерческая образовательная организация высшего профессионального образования «Международный славянский институт»,1143,90А01 0001220,МСИ,21.11.2020,г. Москва,Лишен аккредитации
26,"{'Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»': ['Распоряжение от 26.12.2016 №3392-06', 'Лишен аккредитации'], 'Автономная некоммерческая организация высшего образования «Институт  бизнеса и дизайна»': ['Приказ от 08.08.2016 №1393', 'Недействующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/1db00a35-bf1f-495f-956f-0dfc7c036455/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 13.11.2014 №2136-06'},Постоянное,13.11.2014,17.08.2016,7702472060,"129010, г. Москва, Протопоповский переулок, дом 9, строение  1",Федеральная служба по надзору в сфере образования и науки,1137799012042,,Автономная некоммерческая организация высшего образования «Институт  бизнеса и дизайна»,1131,90А01 0001208,АНО ВО «Институт бизнеса и дизайна»,11.06.2020,г. Москва,Лишен аккредитации
27,"{'Негосударственное образовательное учреждение высшего образования «Московский институт юриспруденции»': ['Приказ от 30.09.2014 №1554', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/cadd4b1e-e7a9-4a38-940c-f6f72066e558/1/>,{'Приказ о лишении ГА': 'Приказ от 29.12.2015 №2439'},Постоянное,30.09.2014,31.08.2016,7705337172,"105203, г. Москва, ул. Парковая 14-я, дом  6",Федеральная служба по надзору в сфере образования и науки,1027700464220,,Негосударственное образовательное учреждение высшего профессионального образования «Московский институт юриспруденции»,1108,90А01 0001183,НОУ ВПО «Московский институт юриспруденции»,30.09.2020,г. Москва,Лишен аккредитации
28,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/deda9b18-783b-46fb-b874-e882a213a521/1/>,"{'Приказ о лишении ГА': 'Приказ от 15.05.2018 №608', 'Распоряжение о переоформлении': 'Распоряжение от 20.05.2016 №1323-06'}",Постоянное,18.09.2014,01.09.2016,6228040072,"390013, город Рязань, Первомайский проспект, дом 80/44",Федеральная служба по надзору в сфере образования и науки,1026200954570,u29,Частное  образовательное учреждение высшего  образования «Региональный институт бизнеса и управления»,1106,90А01 0001181,РИБиУ,18.09.2020,Рязанская область,Лишен аккредитации
29,"{'Негосударственное образовательное учреждение высшего профессионального образования «Сергиево-Посадский гуманитарный институт» (НОУ ВПО СПГИ)': ['Приказ от 26.08.2014 №1379', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/cdf5a950-b22e-4e92-9885-4e9e8a1bf575/1/>,{'Приказ о лишении ГА': 'Приказ от 09.09.2016 №1557'},Постоянное,26.08.2014,30.08.2016,5042000604,,Федеральная служба по надзору в сфере образования и науки,1025005331460,u30,Негосударственное образовательное учреждение высшего профессионального образования «Сергиево-Посадский гуманитарный институт»,1095,90А01 0001169,НОУ ВПО СПГИ,26.08.2020,Московская область,Лишен аккредитации
30,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/ac32a847-dcd0-4e02-830d-ba930dce3e09/1/>,{'Приказ о лишении ГА': 'Приказ от 19.04.2016 №616'},Постоянное,01.08.2014,30.08.2016,7706079069,,Федеральная служба по надзору в сфере образования и науки,1037700025802,u31,Негосударственное некоммерческое образовательное учреждение высшего профессионального образования «Гуманитарный институт» (г. Москва),1073,90А01 0001145,Гуманитарный институт (г. Москва),01.08.2020,г. Москва,Лишен аккредитации
31,"{'Частное образовательное учреждение высшего образования  ""Институт международной торговли и права""': ['Приказ от 30.06.2014 №978', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/1df7ce7a-dcc7-4eba-89e6-0dad0b85a4eb/1/>,{'Приказ о лишении ГА': 'Приказ от 04.05.2016 №690'},Постоянное,30.06.2014,15.08.2016,7731026039,"121108, город Москва, улица Кастанаевская, дом  59, корпус 2",Федеральная служба по надзору в сфере образования и науки,1037739241726,u32,Негосударственное образовательное учреждение высшего профессионального образования Институт международной торговли и права,1061,90А01 0001130,НОУ ВПО ИМТП,30.06.2020,г. Москва,Лишен аккредитации
32,"{'Частное образовательное учреждение высшего образования «Казанский институт предпринимательства и права»': ['Приказ от 30.04.2014 №606', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/67d07f9d-ddda-4b56-b260-bf5c22500f7e/1/>,{'Приказ о лишении ГА': 'Приказ от 09.06.2016 №906'},Постоянное,30.04.2014,15.08.2016,1654027919,"420021, г. Казань, ул. Парижской Коммуны, 25",Федеральная служба по надзору в сфере образования и науки,1021602846220,u33,Негосударственное образовательное учреждение высшего профессионального образования «Казанский институт предпринимательства и права»,984,90А01 0001048,КИПП,30.04.2020,Республика Татарстан (Татарстан),Лишен аккредитации
33,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/8b735824-c38a-43f9-a7c7-e7e9cc062e72/1/>,{'Приказ о лишении ГА': 'Приказ от 29.03.2016 №461'},Постоянное,21.04.2014,30.08.2016,7017000548,,Федеральная служба по надзору в сфере образования и науки,1027000853494,,Негосударственное образовательное учреждение высшего профессионального образования «Томский экономико-юридический институт»,969,90А01 0001033,"НОУ ВПО ""Томский экономико-юридический институт""",21.04.2020,Томская область,Лишен аккредитации
34,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/52e56684-fe22-475e-9f60-4328647c6a8d/1/>,{'Приказ о лишении ГА': 'Приказ от 24.10.2016 №1794'},Постоянное,11.04.2014,15.08.2016,1501017568,"362040, Республика Северная Осетия-Алания, г. Владикавказ, пр. Мира, 54",Федеральная служба по надзору в сфере образования и науки,1021500770763,,Негосударственное образовательное учреждение высшего профессионального образования «Владикавказский институт Моды»,957,90А01 0001020,ВИМ,11.04.2020,Республика Северная Осетия - Алания,Лишен аккредитации
35,"{'негосударственное образовательное учреждение высшего профессионального образования «Институт адвокатуры, нотариата и международных отношений»': ['Приказ от 01.04.2014 №357', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/6148ba3d-0efb-4354-a1bc-7d89cd18ebdd/1/>,{'Приказ о лишении ГА': 'Приказ от 25.12.2015 №2416'},Постоянное,01.04.2014,31.08.2016,560026386,"367009, г. Махачкала, ул. Магомедтагирова А.М., 39, Литер «А2»",Федеральная служба по надзору в сфере образования и науки,1030502457941,,"негосударственное образовательное учреждение высшего профессионального образования «Институт адвокатуры, нотариата и международных отношений»",938,90А01 00001000,,01.04.2020,Республика Дагестан,Лишен аккредитации
36,"{'Негосударственное образовательное учреждение высшего профессионального образования «Институт международных отношений»': ['Распоряжение от 11.03.2014 №342-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/4f1b2b62-4bcd-4a76-b175-029a2f652eb8/1/>,"{'Приказ о лишении ГА': 'Приказ от 01.07.2016 №1102', 'Распоряжение о переоформлении': 'Распоряжение от 11.03.2014 №342-06'}",Постоянное,11.03.2014,30.08.2016,7707213260,"105005, г. Москва, ул. Малая Почтовая, д. 2/2",Федеральная служба по надзору в сфере образования и науки,1027739389688,,Негосударственное образовательное  учреждение высшего профессионального образования  «Институт международных отношений»,904,90А01 0000965,,25.06.2018,г. Москва,Лишен аккредитации
37,"{'Негосударственное образовательное учреждение высшего профессионального образования «Кабардино-Балкарский институт бизнеса»': ['Приказ от 18.11.2013 №1163', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/c50df346-1ee0-49e0-9f29-0e75e7edbc5f/1/>,{'Приказ о лишении ГА': 'Приказ от 29.12.2015 №2443'},Постоянное,18.11.2013,31.08.2016,711054589,"Российская Федерация, Кабардино-Балкарская Республика, 360004, г. Нальчик, ул. Ахохова, 169 «А»",Федеральная служба по надзору в сфере образования и науки,1020700756636,,Негосударственное образовательное учреждение высшего профессионального образования «Кабардино-Балкарский институт бизнеса»,837,90А01 0000896,НОУ ВПО КБИБ,18.11.2019,Кабардино-Балкарская Республика,Лишен аккредитации
38,"{'Негосударственное образовательное учреждение высшего профессионального образования Институт иностранных языков': ['Приказ от 13.11.2013 №1139', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/a31cfd71-3414-43f5-a1bf-f95ffc0924d4/1/>,{},Постоянное,13.11.2013,18.08.2016,7703029013,"123317, г. Москва, пр-д Красногвардейский 2-й, д. 4а",Федеральная служба по надзору в сфере образования и науки,1027739097099,u39,Негосударственное образовательное учреждение высшего профессионального образования Институт иностранных языков,831,90А01 0000890,ИИЯ,13.11.2019,г. Москва,Лишен аккредитации
